,features,score
112,6b60ef98ce9a-1440313_H3K9ac_H2_D3.all,0.04881470154673073
100,594de8aa9916-1440317_H3K27ac_H2_D3.all,0.041120341445724025
114,82e095a3625f-1440309_H3K4me3_H2_D3.all,0.03980580923814065
101,2554e780890f-Hudep2_ATAC,0.03795726112346564
105,7b6873b68cb9-HUDEP2_LRF_CHIP,0.035921419711750016
109,a3d47fe12b92-Hudep2_D3_merged_LDB1.all,0.03106735032090131
113,671a7a45c611-1440319_H3K36me3_H2_D3.all,0.028488303805880487
111,da6f2ed3d4b1-Hudep2_D3_merged_TAL1.all,0.028215281008549156
107,673b219e61ad-Hudep2_D3_merged_KLF1.all,0.027880048163834277
108,fc063a463470-1440311_H3K9me3_H2_D3.all,0.024526279873570596
102,2d9f1defe4bb-Hudep2_D3_merged_CTCF.all,0.020926793985429785
106,1c89a6d12c06-Hudep2_D3_merged_GATA1.all,0.02023952330952128
103,a0f43898fc2d-Hudep2_BCL11A,0.01956321207458594
115,#HiChIP_degree,0.01824418149139497
104,c79328695482-1440315_H3K27me3_H2_D3.all,0.013842050943048266
110,04df099ccd9f-1440307_H3K4me1_H2_D3.all,0.013384362050724628
61,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_1,0.011638632049027675
79,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_4,0.010656731880168966
99,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_4,0.010132206380764888
78,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_3,0.009156250528907261
9,motif_footprint_score_JASPA_MA0139.1_CTCF_4,0.009117339381600252
54,motif_footprint_score_JASPA_MA0864.1_E2F2_4,0.00902011995841659
58,motif_footprint_score_JASPA_MA0060.3_NFYA_3,0.00893903114638508
87,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_2,0.008687200944031862
70,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_0,0.00860640749318808
38,motif_footprint_score_JASPA_MA0469.2_E2F3_3,0.008317844801490077
62,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_2,0.007884913094248954
39,motif_footprint_score_JASPA_MA0469.2_E2F3_4,0.007854962100051406
36,motif_footprint_score_JASPA_MA0469.2_E2F3_1,0.0075435868221432325
80,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_0,0.00697983404572049
33,motif_footprint_score_JASPA_MA0671.1_NFIX_3,0.006940728314256061
76,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_1,0.006757010350531337
55,motif_footprint_score_JASPA_MA0060.3_NFYA_0,0.006732377071119777
27,motif_footprint_score_JASPA_MA0150.2_NFE2L2_2,0.0066081078296803064
23,motif_footprint_score_JASPA_MA0035.3_GATA1_3,0.006582895821998265
89,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_4,0.006535033210915485
84,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_4,0.006486875343466705
37,motif_footprint_score_JASPA_MA0469.2_E2F3_2,0.006365104196044951
32,motif_footprint_score_JASPA_MA0671.1_NFIX_2,0.00628910523752545
49,motif_footprint_score_JASPA_MA0024.3_E2F1_4,0.006265596639168158
42,motif_footprint_score_JASPA_MA0841.1_NFE2_2,0.006126147518573405
4,motif_footprint_score_Homer_known_GSE104676_BCL11A_4,0.0060540932420224125
64,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_4,0.005963126274204329
7,motif_footprint_score_JASPA_MA0139.1_CTCF_2,0.005912035066780626
91,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_1,0.005859201497366105
10,motif_footprint_score_JASPA_MA0493.1_KLF1_0,0.005721169838633407
52,motif_footprint_score_JASPA_MA0864.1_E2F2_2,0.005670833190576795
8,motif_footprint_score_JASPA_MA0139.1_CTCF_3,0.005658869431402378
59,motif_footprint_score_JASPA_MA0060.3_NFYA_4,0.00557484994959004
50,motif_footprint_score_JASPA_MA0864.1_E2F2_0,0.005559865231599266
3,motif_footprint_score_Homer_known_GSE104676_BCL11A_3,0.0055333651860096315
17,motif_footprint_score_JASPA_MA0470.1_E2F4_2,0.005501947540944766
21,motif_footprint_score_JASPA_MA0035.3_GATA1_1,0.00546876536167145
18,motif_footprint_score_JASPA_MA0470.1_E2F4_3,0.005447768025363657
0,motif_footprint_score_Homer_known_GSE104676_BCL11A_0,0.005423600875816877
16,motif_footprint_score_JASPA_MA0470.1_E2F4_1,0.005398903062224215
92,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_2,0.005316035919347931
45,motif_footprint_score_JASPA_MA0024.3_E2F1_0,0.005293297960830453
69,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_4,0.005257970912152839
51,motif_footprint_score_JASPA_MA0864.1_E2F2_1,0.0051319921898773276
20,motif_footprint_score_JASPA_MA0035.3_GATA1_0,0.005131530199408747
82,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_2,0.005097508118311512
73,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_3,0.005071292022012805
22,motif_footprint_score_JASPA_MA0035.3_GATA1_2,0.005044460653557861
93,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_3,0.005025142519927025
44,motif_footprint_score_JASPA_MA0841.1_NFE2_4,0.005013297015736036
95,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_0,0.005007862433116744
19,motif_footprint_score_JASPA_MA0470.1_E2F4_4,0.005006008929452516
2,motif_footprint_score_Homer_known_GSE104676_BCL11A_2,0.004999185088481049
90,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_0,0.0049823769866907935
97,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_2,0.0048771099342348155
53,motif_footprint_score_JASPA_MA0864.1_E2F2_3,0.0048759532036332055
29,motif_footprint_score_JASPA_MA0150.2_NFE2L2_4,0.004859201495954046
30,motif_footprint_score_JASPA_MA0671.1_NFIX_0,0.004832035291573828
86,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_1,0.004807852563870386
34,motif_footprint_score_JASPA_MA0671.1_NFIX_4,0.004805614232844083
98,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_3,0.004793472652565292
43,motif_footprint_score_JASPA_MA0841.1_NFE2_3,0.004775568146399502
63,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_3,0.004718071545344768
35,motif_footprint_score_JASPA_MA0469.2_E2F3_0,0.004707560779955876
56,motif_footprint_score_JASPA_MA0060.3_NFYA_1,0.0047008674183186775
81,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_1,0.004650229308564337
5,motif_footprint_score_JASPA_MA0139.1_CTCF_0,0.004621781913325259
24,motif_footprint_score_JASPA_MA0035.3_GATA1_4,0.004621507123940636
28,motif_footprint_score_JASPA_MA0150.2_NFE2L2_3,0.00460547979772652
77,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_2,0.004528336804799298
15,motif_footprint_score_JASPA_MA0470.1_E2F4_0,0.0045203684930210306
94,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_4,0.004450242880470448
75,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_0,0.004425743780645131
13,motif_footprint_score_JASPA_MA0493.1_KLF1_3,0.00434145976902245
85,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_0,0.004316479350306681
66,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_1,0.004302997896371886
41,motif_footprint_score_JASPA_MA0841.1_NFE2_1,0.004286140014701026
12,motif_footprint_score_JASPA_MA0493.1_KLF1_2,0.004231374717268801
46,motif_footprint_score_JASPA_MA0024.3_E2F1_1,0.004222787079391876
40,motif_footprint_score_JASPA_MA0841.1_NFE2_0,0.0042220415920388495
25,motif_footprint_score_JASPA_MA0150.2_NFE2L2_0,0.0041982872689204165
57,motif_footprint_score_JASPA_MA0060.3_NFYA_2,0.0041683203277272695
6,motif_footprint_score_JASPA_MA0139.1_CTCF_1,0.004166995207338406
83,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_3,0.004152328061417013
31,motif_footprint_score_JASPA_MA0671.1_NFIX_1,0.004122745316181449
88,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_3,0.0041200183439078645
14,motif_footprint_score_JASPA_MA0493.1_KLF1_4,0.004106356426343535
71,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_1,0.004044226842849506
11,motif_footprint_score_JASPA_MA0493.1_KLF1_1,0.004022130616644281
1,motif_footprint_score_Homer_known_GSE104676_BCL11A_1,0.003958958423513813
47,motif_footprint_score_JASPA_MA0024.3_E2F1_2,0.00394805666664532
74,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_4,0.00391758650324483
60,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_0,0.003907406508760465
68,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_3,0.003887216778922577
48,motif_footprint_score_JASPA_MA0024.3_E2F1_3,0.003820881088634787
72,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_2,0.003798438906331264
67,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_2,0.0037927362650976076
96,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_1,0.003616512861281784
26,motif_footprint_score_JASPA_MA0150.2_NFE2L2_1,0.003426283830335306
65,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_0,0.0033769189938277055
