	total	unique	rate	sampling_rate	check
SRR8096268_HEK293T_HEK293T	16099213	2507388	0.155745998	11.96464209	30000000
SRR8096267_HEK293T_HEK293T	15604020	2509377	0.160816059	11.95515859	30000000
SRR8096262_HEK293T_HEK293T	18320254	2611045	0.142522314	11.48965261	30000000
SRR8096263_HEK293T_HEK293T	17523044	2995039	0.170920018	10.01656406	30000000
SRR8096269_HEK293T_HEK293T	20050212	3103611	0.154791929	9.666159838	30000000
SRR8096266_HEK293T_HEK293T	18056147	3170463	0.175589122	9.462340358	30000000
SRR8096261_HEK293T_HEK293T	17891709	3284294	0.183565136	9.134383219	30000000
SRR8096265_HEK293T_HEK293T	20971712	3707777	0.176798966	8.091101487	30000000
SRR8096264_HEK293T_HEK293T	21792211	3725874	0.170972739	8.051802074	30000000
1000005_RFR006_S6	18303435	13690442	0.747971187	2.19130982	30000000
SRR8570465_HEK293T	59346587	16680264	0.281065262	1.798532685	30000000
SRR8570463_HEK293T	70686222	19686651	0.278507614	1.523875239	30000000
SRR8570464_HEK293T	84384885	21217672	0.251439248	1.413915721	30000000
SRR8570461_HEK293T	79983142	21528624	0.26916452	1.393493611	30000000
SRR8570462_HEK293T	71671854	24427880	0.34082947	1.228104936	30000000
SRR8910095_HEK293T_HEK293T	76465353	24732986	0.323453499	1.212955039	30000000
SRR8910094_HEK293T_HEK293T	72980482	25522654	0.349718902	1.175426349	30000000
SRR8910098_HEK293T_HEK293T	80056013	26465697	0.330589746	1.133542789	30000000
SRR8096310_HEK293T_HEK293T	63648941	26497431	0.416305921	1.13218523	30000000
SRR8096283_HEK293T_HEK293T	81521190	27021226	0.331462605	1.110238299	30000000
SRR8910097_HEK293T_HEK293T	76465153	27094535	0.354338335	1.107234356	30000000
SRR8910099_HEK293T_HEK293T	84424034	27166883	0.321790866	1.104285685	30000000
SRR8910096_HEK293T_HEK293T	73147831	27752336	0.379400669	1.080990083	30000000
SRR8910093_HEK293T_HEK293T	79034638	28109644	0.355662336	1.067249375	30000000
SRR8910103_HEK293T_HEK293T	83103443	28129100	0.338482968	1.066511193	30000000
SRR8096302_HEK293T_HEK293T	75298814	28494343	0.37841689	1.052840559	30000000
SRR8096299_HEK293T_HEK293T	77561569	28725210	0.370353648	1.044378788	30000000
SRR8096312_HEK293T_HEK293T	66282309	28998777	0.437504025	1.034526387	30000000
1000004_RFR005_S5	39391588	29482180	0.748438474	1.01756383	30000000
SRR8096304_HEK293T_HEK293T	82138142	29819798	0.363044467	1.006043032	30000000
SRR8096308_HEK293T_HEK293T	74626180	31057944	0.416180273	0.965936444	30000000
SRR8096277_HEK293T_HEK293T	91342504	32173902	0.352233633	0.932432752	30000000
1000002_RFR003_S3	43615863	32198571	0.738230744	0.931718367	30000000
SRR8096298_HEK293T_HEK293T	74024365	32638934	0.440921499	0.919147666	30000000
SRR8910092_HEK293T_HEK293T	83076787	32662198	0.393156731	0.918492993	30000000
SRR8910101_HEK293T_HEK293T	92527059	32682859	0.353224877	0.917912353	30000000
SRR8096306_HEK293T_HEK293T	78383568	32749534	0.417811218	0.916043569	30000000
SRR8096275_HEK293T_HEK293T	96135960	33070888	0.344001225	0.907142258	30000000
SRR8096301_HEK293T_HEK293T	71650452	33856942	0.472529357	0.886081206	30000000
SRR8096300_HEK293T_HEK293T	72110357	34164559	0.473781582	0.878102949	30000000
SRR8096311_HEK293T_HEK293T	79394973	34291435	0.431909398	0.874854027	30000000
SRR8570460_HEK293T	90590385	34476502	0.380575731	0.870157883	30000000
SRR8096281_HEK293T_HEK293T	93208473	34645875	0.371703064	0.86590395	30000000
1000000_RFR001_S1	48855961	34666683	0.709569156	0.865384208	30000000
